paradigm,method,n_movies,alpha,mSIoU_mean,BndF1_mean,IoU_d_mean,IoU_nd_mean,R@1_mean,R@5_mean,R@10_mean,MedR_mean,mSIoU_std,BndF1_std,IoU_d_std,IoU_nd_std,R@1_std,R@5_std,R@10_std,MedR_std
Visual,TMASS_pool_full,50,,0.13010807024623905,0.3004354897483822,0.12290012995913113,0.14073003399895023,0.08828507402597931,0.26105433886175305,0.38556716765415083,21.02,0.12466720877302699,0.17302576130067365,0.1211279350058865,0.14325684158448107,0.039650010379293874,0.09127886819135514,0.11700656255103974,13.056400729144308
Visual,TMASS_stoch_full,50,,0.130015930603717,0.3005405005837633,0.12277675259904672,0.14062602591532247,0.08825293648560803,0.2612216820642287,0.3855750598761935,21.21,0.12577409385952742,0.17186813046265373,0.1208448352185453,0.14555940308888826,0.039412506120870834,0.09135265321466407,0.11714179406571892,13.124819998765696
Visual,siglip_full_sent,50,,0.02256012819856541,0.18912080524525507,0.019639757660571907,0.035019912636252454,0.048173222924905564,0.16732087977049864,0.2698827805360742,30.58,0.03502713721098622,0.11687020292556985,0.03449863098875445,0.07696873365928344,0.050335482813041614,0.11707391295526963,0.13850283386090667,19.32520633783764
Visual,siglip_visual_sent,50,,0.019225351597773842,0.2063679874308311,0.01734251773296639,0.02941190623117672,0.04571338565762737,0.15523271183860754,0.25833865729328326,33.05,0.030746599977473713,0.12618684288318455,0.03193751426505982,0.07514784992614373,0.052535485287842694,0.10563219903926939,0.13438465059090116,19.20735536194403
Visual,MATR_encoder_full,50,,0.015857901790176047,0.2045845427326185,0.013966684815267078,0.02814907579839609,0.022567563069537465,0.07822934431371663,0.13051561107903098,66.49,0.017962976153699628,0.11840038389052401,0.015922721636551295,0.07466736756617462,0.0258999748274186,0.06511687679058628,0.08295639636490444,36.191779453351
Visual,MATR_encoder_vis,50,,0.014206033576590789,0.19372573923610037,0.010173442908234602,0.030738013020854233,0.015963219441429314,0.06329349304806776,0.11984048502958401,67.69,0.018188561853132616,0.11414758872126522,0.01496620811918276,0.07564346651352306,0.01933222209993463,0.0481880668008876,0.08406822585805063,38.89998586117994
Visual,S3D_w2v_full,50,,0.0125146771409563,0.20808962976862497,0.009935910278635204,0.0188346028814939,0.005356542425583,0.04211872922671715,0.09590842744219116,58.34,0.01328167591032276,0.10773884090429908,0.012825116288329079,0.031288808213801395,0.006943631109521167,0.04106770187164042,0.07938390271099843,31.478475185434256
Visual,TAN_joint_vis,50,,0.011779278507450636,0.17540426529533584,0.010698262521526794,0.017931732906866903,0.0027207059369237286,0.022806771171388285,0.05838531656931481,72.54,0.018262749957454104,0.11128921002788159,0.02246255488856356,0.0384659104936272,0.0022135293797336886,0.01918567375591398,0.05463283948906651,36.291161458404716
Visual,TAN_avg_vis,50,,0.011361462012869583,0.18200310833061362,0.008850595505267672,0.016468737289819863,0.003712485703602318,0.02900408863198537,0.07306806943732297,66.22,0.01674909486698247,0.11316598833969456,0.01668396065344605,0.026634128456424346,0.0023809453249854233,0.02443732407362808,0.06524029773529118,33.05981851129858
Visual,S3D_w2v_vis,50,,0.01132308638487414,0.21335935012393872,0.008147375413214954,0.01817580129540779,0.005574580448384915,0.03848146718640736,0.08738594624054158,60.9,0.01349215486387192,0.11436295765319487,0.011651059962762838,0.03421535827972986,0.0059874010702735715,0.03894718986770896,0.07687116955054439,31.307666792656395
Visual,TAN_dual_vis,50,,0.010867473820041988,0.17624681298066083,0.008027725240096815,0.01746952249431689,0.00481171474480746,0.03729290906725901,0.08902741028043033,61.55,0.0175512054574995,0.11044064364515364,0.016745701989698776,0.03009571341251451,0.0031404061317529047,0.030096383017054536,0.06997974535148475,32.11670126273868
Visual,TAN_joint_full,50,,0.009508381329177688,0.17188051722195907,0.006459553551156068,0.019263890167627463,0.002394685200637091,0.020412247186101608,0.053418215861844524,72.65,0.013871514730856604,0.10815690765844618,0.012583845924991843,0.0420380635731959,0.002178433670184175,0.01536452591722184,0.04736867441112957,35.61337529636864
Visual,TAN_avg_full,50,,0.008825089800561016,0.18101964548968968,0.0059646905559495745,0.014935219319400984,0.0030524522418580585,0.02598620792472756,0.06623521769162026,67.32,0.009767111035202947,0.11173056631931635,0.00862060220713967,0.023542969498618976,0.0021561768434787613,0.01700482309239901,0.05094271044992958,33.040242129863394
Visual,TAN_dual_full,50,,0.008697924815364737,0.1710047060977374,0.005968102471820785,0.015499941095764492,0.004150485234200316,0.03221592603488898,0.08092409151544298,62.15,0.011524001528054585,0.10939160349864573,0.010649093179481999,0.027603007756463835,0.002425998177969104,0.0218213748300421,0.05820934117138834,31.82502945795966
